"Date","Price","Open","High","Low","Vol.","Change %"
"05/27/2019","16,382.65","16,306.40","16,455.30","16,200.60","84.65K","0.71%"
"05/24/2019","16,267.30","16,309.30","16,363.35","16,031.50","94.33K","0.86%"
"05/23/2019","16,129.10","16,454.95","16,647.15","16,072.65","110.12K","-0.26%"
"05/22/2019","16,171.95","16,143.15","16,261.00","16,097.65","77.73K","0.53%"
"05/21/2019","16,087.40","16,324.45","16,341.30","16,024.55","77.59K","-0.94%"
"05/20/2019","16,240.40","15,991.45","16,272.25","15,944.15","90.08K","4.52%"
"05/17/2019","15,538.65","15,509.60","15,595.00","15,364.90","79.91K","0.05%"
"05/16/2019","15,530.95","15,290.50","15,571.45","15,237.85","61.91K","1.68%"
"05/15/2019","15,274.30","15,491.65","15,530.50","15,230.60","67.26K","-0.81%"
"05/14/2019","15,399.30","15,152.65","15,484.90","15,101.60","71.12K","1.50%"
"05/13/2019","15,172.10","15,464.15","15,533.55","15,128.25","63.12K","-2.08%"
"05/10/2019","15,493.85","15,662.95","15,683.35","15,450.70","65.21K","-0.91%"
"05/09/2019","15,635.45","15,861.45","15,861.65","15,585.50","76.32K","-1.82%"
"05/08/2019","15,925.80","16,219.65","16,219.65","15,873.60","75.40K","-1.88%"
"05/07/2019","16,231.20","16,552.55","16,552.55","16,204.70","75.87K","-1.65%"
"05/06/2019","16,503.15","16,498.60","16,580.55","16,442.10","76.64K","-0.39%"
"05/03/2019","16,568.30","16,557.75","16,664.65","16,526.85","78.50K","0.42%"
"05/02/2019","16,499.05","16,491.20","16,566.75","16,419.70","92.85K","-0.01%"
"04/30/2019","16,500.00","16,473.00","16,552.10","16,272.40","94.93K","0.42%"
"04/26/2019","16,431.50","16,277.15","16,449.20","16,272.80","73.15K","1.16%"
"04/25/2019","16,243.55","16,305.30","16,476.25","16,199.80","268.29K","-0.38%"
"04/24/2019","16,305.75","16,096.30","16,332.45","16,093.90","103.72K","1.84%"
"04/23/2019","16,010.70","15,915.00","16,035.50","15,849.20","84.15K","0.42%"
"04/22/2019","15,944.30","16,135.65","16,144.85","15,921.10","75.34K","-2.40%"
"04/18/2019","16,336.25","16,369.70","16,385.60","16,194.70","90.98K","0.82%"
"04/16/2019","16,203.55","16,191.05","16,277.20","16,159.40","67.25K","0.55%"
"04/15/2019","16,114.45","16,209.95","16,231.80","16,084.80","59.04K","-0.34%"
"04/12/2019","16,169.75","16,202.75","16,253.85","16,118.90","75.62K","0.07%"
"04/11/2019","16,159.15","16,051.35","16,195.75","16,029.55","70.44K","0.83%"
"04/10/2019","16,026.90","16,067.50","16,190.10","16,003.65","64.15K","-0.26%"
"04/09/2019","16,068.25","15,943.10","16,092.05","15,887.35","77.80K","0.53%"
"04/08/2019","15,983.30","16,193.75","16,203.05","15,915.30","83.28K","-1.16%"
"04/05/2019","16,171.45","16,188.90","16,227.05","16,084.20","59.54K","0.32%"
"04/04/2019","16,120.60","16,297.30","16,316.30","16,054.85","79.03K","-0.85%"
"04/03/2019","16,258.65","16,575.95","16,590.40","16,232.35","84.18K","-1.60%"
"04/02/2019","16,523.50","16,585.90","16,631.00","16,469.70","100.25K","-0.05%"
"04/01/2019","16,532.10","16,571.40","16,660.95","16,393.45","110.65K","0.29%"
"03/29/2019","16,484.00","16,495.55","16,605.90","16,455.15","153.56K","0.61%"
"03/28/2019","16,384.50","16,344.05","16,493.40","16,266.75","165.06K","0.33%"
"03/27/2019","16,330.10","16,624.05","16,624.05","16,283.95","84.51K","-1.28%"
"03/26/2019","16,541.35","16,218.00","16,575.90","16,218.00","110.63K","2.44%"
"03/25/2019","16,147.90","16,048.45","16,198.00","15,973.45","119.61K","-0.03%"
"03/22/2019","16,152.30","16,408.05","16,501.60","16,103.85","156.13K","-1.49%"
"03/20/2019","16,397.40","16,607.25","16,607.25","16,353.30","138.97K","-1.18%"
"03/19/2019","16,593.90","16,458.80","16,632.90","16,358.15","134.77K","1.60%"
