"Date","Price","Open","High","Low","Vol.","Change %"
"08/21/2018","3,466.95","3,498.05","3,498.15","3,456.95","71.55M","-0.34%"
"08/20/2018","3,478.90","3,412.25","3,483.85","3,408.55","81.58M","2.50%"
"08/17/2018","3,394.10","3,368.65","3,412.05","3,365.25","72.01M","1.71%"
"08/16/2018","3,337.05","3,356.15","3,370.50","3,329.65","83.99M","-2.27%"
"08/14/2018","3,414.60","3,427.50","3,444.00","3,392.60","83.17M","0.26%"
"08/13/2018","3,405.80","3,412.45","3,443.35","3,379.40","83.46M","-0.84%"
"08/10/2018","3,434.75","3,511.15","3,512.75","3,423.50","83.82M","-1.91%"
"08/09/2018","3,501.75","3,475.60","3,511.90","3,447.25","107.18M","1.39%"
"08/08/2018","3,453.60","3,469.55","3,487.35","3,440.25","84.45M","0.24%"
"08/07/2018","3,445.25","3,422.45","3,463.00","3,385.55","114.67M","1.16%"
"08/06/2018","3,405.70","3,399.90","3,423.70","3,387.80","76.35M","0.74%"
"08/03/2018","3,380.85","3,338.80","3,386.70","3,335.05","91.27M","1.60%"
"08/02/2018","3,327.75","3,313.10","3,352.10","3,265.80","95.57M","0.23%"
"08/01/2018","3,320.00","3,337.55","3,374.25","3,295.75","101.35M","-0.45%"
"07/31/2018","3,335.10","3,319.05","3,345.55","3,282.15","68.00M","0.45%"
"07/30/2018","3,320.30","3,307.95","3,334.15","3,298.20","64.24M","0.69%"
"07/27/2018","3,297.70","3,263.65","3,309.80","3,259.85","87.38M","1.93%"
"07/26/2018","3,235.35","3,272.70","3,276.90","3,230.65","104.88M","-0.82%"
"07/25/2018","3,262.05","3,255.10","3,291.35","3,246.30","93.35M","0.89%"
"07/24/2018","3,233.30","3,137.60","3,245.60","3,135.05","86.34M","2.99%"
"07/23/2018","3,139.35","3,102.90","3,151.65","3,068.80","67.33M","1.52%"
"07/20/2018","3,092.20","3,106.05","3,109.75","3,062.25","75.30M","-0.40%"
"07/19/2018","3,104.60","3,138.70","3,170.65","3,079.65","119.93M","-0.53%"
"07/18/2018","3,121.10","3,239.60","3,244.40","3,116.80","74.67M","-3.15%"
"07/17/2018","3,222.65","3,163.65","3,240.00","3,135.65","72.13M","1.72%"
"07/16/2018","3,168.10","3,288.40","3,288.60","3,163.15","67.37M","-3.61%"
"07/13/2018","3,286.60","3,322.50","3,323.65","3,275.80","94.16M","-0.42%"
"07/12/2018","3,300.35","3,335.10","3,375.10","3,295.25","85.32M","-0.51%"
"07/11/2018","3,317.15","3,396.25","3,396.25","3,309.05","82.14M","-3.07%"
"07/10/2018","3,422.35","3,378.70","3,427.00","3,372.65","75.23M","1.66%"
"07/09/2018","3,366.35","3,361.90","3,385.80","3,350.75","55.07M","1.33%"
"07/06/2018","3,322.05","3,304.50","3,370.40","3,275.15","77.76M","-0.01%"
"07/05/2018","3,322.45","3,358.10","3,358.10","3,302.30","61.06M","-1.42%"
"07/04/2018","3,370.45","3,366.10","3,381.65","3,317.20","67.90M","0.13%"
"07/03/2018","3,366.15","3,372.10","3,389.00","3,330.75","81.16M","-0.37%"
"07/02/2018","3,378.60","3,448.00","3,450.80","3,328.00","109.04M","-1.79%"
"06/29/2018","3,440.15","3,353.05","3,448.15","3,352.75","76.20M","2.80%"
"06/28/2018","3,346.50","3,345.35","3,368.75","3,317.60","89.56M","0.14%"
"06/27/2018","3,341.80","3,394.15","3,394.70","3,329.00","75.04M","-1.26%"
"06/26/2018","3,384.40","3,383.85","3,420.15","3,359.60","78.78M","-0.38%"
"06/25/2018","3,397.45","3,424.60","3,465.35","3,386.85","86.69M","-0.99%"
"06/22/2018","3,431.55","3,419.60","3,438.95","3,398.35","72.43M","0.27%"
"06/21/2018","3,422.45","3,472.55","3,472.60","3,412.30","69.79M","-1.08%"
"06/20/2018","3,459.65","3,431.40","3,467.30","3,424.40","79.41M","0.99%"
"06/19/2018","3,425.70","3,457.40","3,490.65","3,400.60","99.27M","-1.57%"
"06/18/2018","3,480.45","3,524.05","3,524.05","3,442.10","74.89M","-1.74%"
"06/15/2018","3,541.95","3,603.70","3,609.10","3,522.80","87.32M","-1.53%"
"06/14/2018","3,597.10","3,603.65","3,636.65","3,583.70","72.97M","-0.44%"
"06/13/2018","3,612.85","3,630.50","3,641.35","3,605.65","73.98M","-0.44%"
"06/12/2018","3,628.95","3,646.30","3,650.05","3,611.75","94.01M","-0.43%"
"06/11/2018","3,644.80","3,661.35","3,685.35","3,640.40","67.67M","-0.38%"
"06/08/2018","3,658.55","3,658.05","3,681.45","3,623.20","77.83M","-0.40%"
"06/07/2018","3,673.35","3,638.05","3,704.80","3,638.00","112.09M","1.48%"
"06/06/2018","3,619.60","3,557.25","3,626.50","3,553.50","79.32M","1.86%"
"06/05/2018","3,553.55","3,571.60","3,576.20","3,519.20","55.84M","-0.58%"
"06/04/2018","3,574.15","3,583.75","3,588.70","3,556.25","74.54M","0.16%"
"06/01/2018","3,568.40","3,578.20","3,645.10","3,554.45","85.95M","-0.70%"
"05/31/2018","3,593.65","3,626.90","3,652.85","3,582.65","122.87M","-0.46%"
"05/30/2018","3,610.15","3,558.55","3,622.65","3,553.00","79.72M","0.09%"
"05/29/2018","3,606.95","3,568.80","3,635.60","3,552.60","90.74M","0.06%"
"05/28/2018","3,604.70","3,585.60","3,614.85","3,563.10","52.57M","1.05%"
"05/25/2018","3,567.40","3,497.10","3,581.50","3,475.65","84.81M","2.17%"
"05/24/2018","3,491.65","3,475.85","3,504.65","3,420.45","68.89M","0.96%"
"05/23/2018","3,458.35","3,570.10","3,570.10","3,448.05","93.73M","-3.74%"
"05/22/2018","3,592.90","3,539.95","3,596.85","3,506.45","54.12M","1.77%"
"05/21/2018","3,530.35","3,594.50","3,621.30","3,523.90","58.48M","-1.68%"
"05/18/2018","3,590.65","3,686.70","3,703.30","3,582.90","62.66M","-2.41%"
"05/17/2018","3,679.35","3,734.05","3,734.45","3,642.80","85.68M","-0.45%"
"05/16/2018","3,696.15","3,706.45","3,732.25","3,664.20","68.68M","-0.41%"
"05/15/2018","3,711.55","3,701.60","3,778.90","3,695.30","81.24M","0.26%"
"05/14/2018","3,702.05","3,717.90","3,730.50","3,684.20","45.89M","-0.29%"
"05/11/2018","3,712.80","3,677.25","3,716.90","3,650.35","70.54M","1.56%"
"05/10/2018","3,655.70","3,705.95","3,710.90","3,640.85","76.82M","-0.97%"
"05/09/2018","3,691.65","3,692.15","3,747.20","3,686.85","71.02M","0.07%"
"05/08/2018","3,689.10","3,708.90","3,725.70","3,665.65","62.33M","-0.19%"
"05/07/2018","3,695.95","3,661.10","3,700.40","3,636.15","63.68M","1.72%"
"05/04/2018","3,633.60","3,680.10","3,684.05","3,628.55","58.32M","-1.07%"
"05/03/2018","3,673.05","3,645.50","3,682.40","3,611.40","69.33M","0.76%"
"05/02/2018","3,645.25","3,770.10","3,771.25","3,637.80","68.51M","-3.43%"
"04/30/2018","3,774.85","3,771.90","3,814.30","3,742.00","46.19M","0.29%"
"04/27/2018","3,763.85","3,759.10","3,781.40","3,740.15","56.66M","0.71%"
"04/26/2018","3,737.50","3,745.80","3,773.75","3,715.20","88.80M","0.03%"
"04/25/2018","3,736.20","3,779.55","3,784.25","3,724.95","58.65M","-1.36%"
"04/24/2018","3,787.60","3,759.80","3,801.20","3,733.20","115.27M","-1.92%"
"04/23/2018","3,861.55","3,893.20","3,907.10","3,854.65","60.61M","-0.77%"
"04/20/2018","3,891.45","3,869.35","3,902.05","3,831.85","120.65M","-0.73%"
"04/19/2018","3,920.15","3,797.00","3,944.10","3,794.95","229.90M","4.52%"
"04/18/2018","3,750.50","3,750.90","3,764.50","3,727.35","81.53M","0.40%"
"04/17/2018","3,735.55","3,752.35","3,783.75","3,724.80","75.87M","0.11%"
"04/16/2018","3,731.50","3,707.00","3,739.20","3,696.50","64.05M","0.16%"
"04/13/2018","3,725.45","3,710.05","3,745.70","3,698.75","89.22M","0.95%"
"04/12/2018","3,690.45","3,732.60","3,733.50","3,681.20","86.82M","-1.38%"
"04/11/2018","3,742.00","3,734.30","3,748.05","3,703.85","100.61M","1.59%"
"04/10/2018","3,683.35","3,678.85","3,692.65","3,649.30","102.10M","2.04%"
"04/09/2018","3,609.55","3,607.90","3,654.15","3,602.45","74.71M","0.15%"
"04/06/2018","3,604.05","3,577.35","3,617.25","3,567.15","82.22M","-0.14%"
"04/05/2018","3,609.25","3,536.10","3,614.00","3,533.95","104.05M","4.06%"
"04/04/2018","3,468.35","3,574.95","3,597.20","3,456.40","104.08M","-2.57%"
"04/03/2018","3,559.85","3,508.15","3,567.90","3,499.30","78.94M","0.57%"
"04/02/2018","3,539.55","3,543.45","3,548.45","3,499.05","51.15M","0.77%"
"03/28/2018","3,512.55","3,550.30","3,552.90","3,501.60","105.07M","-2.04%"
"03/27/2018","3,585.70","3,565.05","3,595.40","3,544.65","85.33M","1.83%"
"03/26/2018","3,521.35","3,451.85","3,540.05","3,415.45","89.30M","2.14%"
