"Date","Price","Open","High","Low","Vol.","Change %"
"02/11/2025","8,029.85","8,205.00","8,205.10","8,003.65","162.53M","-1.71%"
"02/10/2025","8,169.85","8,260.70","8,265.45","8,138.90","111.89M","-0.96%"
"02/07/2025","8,249.25","8,252.65","8,338.30","8,208.90","138.41M","0.00%"
"02/06/2025","8,249.45","8,354.05","8,361.55","8,230.00","152.78M","-0.82%"
"02/05/2025","8,317.25","8,340.90","8,373.45","8,307.70","160.12M","0.08%"
"02/04/2025","8,310.75","8,163.65","8,319.05","8,156.95","199.74M","2.40%"
"02/03/2025","8,115.65","8,189.10","8,193.90","8,057.95","262.65M","-1.68%"
"02/01/2025","8,254.35","8,365.30","8,417.85","8,177.55","157.77M","-1.13%"
"01/31/2025","8,348.50","8,261.05","8,362.90","8,220.65","164.37M","1.48%"
"01/30/2025","8,226.70","8,180.30","8,262.80","8,167.80","187.46M","0.77%"
"01/29/2025","8,163.75","8,130.30","8,187.65","8,095.95","129.45M","0.59%"
"01/28/2025","8,116.05","8,149.05","8,179.85","8,033.35","189.63M","0.05%"
"01/27/2025","8,112.30","8,204.65","8,207.25","8,083.20","174.67M","-1.59%"
"01/24/2025","8,243.65","8,326.75","8,388.05","8,230.40","164.55M","-0.85%"
"01/23/2025","8,314.70","8,259.90","8,325.45","8,249.90","117.06M","0.35%"
"01/22/2025","8,285.55","8,341.20","8,348.55","8,216.25","135.89M","-0.29%"
"01/21/2025","8,309.50","8,484.40","8,486.60","8,298.35","156.41M","-1.68%"
"01/20/2025","8,451.85","8,451.45","8,460.85","8,383.50","149.44M","0.61%"
"01/17/2025","8,400.90","8,390.40","8,419.30","8,332.50","146.05M","1.20%"
"01/16/2025","8,301.45","8,294.25","8,326.15","8,262.65","147.55M","1.01%"
"01/15/2025","8,218.25","8,188.95","8,262.30","8,177.40","167.03M","0.97%"
"01/14/2025","8,139.70","8,080.30","8,173.65","8,080.25","174.72M","1.06%"
"01/13/2025","8,054.20","8,150.45","8,206.00","8,025.25","226.53M","-2.49%"
"01/10/2025","8,259.95","8,345.75","8,358.10","8,224.60","149.06M","-1.16%"
"01/09/2025","8,357.05","8,461.30","8,466.20","8,347.85","132.34M","-1.16%"
"01/08/2025","8,455.05","8,497.95","8,498.15","8,413.40","169.53M","-0.06%"
"01/07/2025","8,460.35","8,418.15","8,495.10","8,417.80","167.75M","0.82%"
"01/06/2025","8,391.25","8,611.30","8,614.15","8,368.70","164.19M","-2.38%"
"01/03/2025","8,596.25","8,637.10","8,651.55","8,582.90","175.79M","-0.30%"
"01/02/2025","8,622.50","8,515.40","8,635.15","8,485.25","166.05M","1.44%"
"01/01/2025","8,500.45","8,460.60","8,523.20","8,430.25","67.55M","0.44%"
"12/31/2024","8,463.50","8,405.05","8,490.55","8,369.90","106.31M","0.44%"
"12/30/2024","8,426.40","8,492.45","8,519.50","8,405.45","287.69M","-0.81%"
"12/27/2024","8,495.00","8,537.75","8,581.15","8,487.60","84.40M","-0.40%"
"12/26/2024","8,528.85","8,522.75","8,543.35","8,486.95","117.79M","0.28%"
"12/24/2024","8,505.05","8,520.05","8,574.20","8,481.00","105.23M","-0.06%"
"12/23/2024","8,510.10","8,511.75","8,568.70","8,465.50","119.84M","0.68%"
"12/20/2024","8,452.40","8,634.60","8,691.25","8,433.10","206.80M","-2.08%"
"12/19/2024","8,632.15","8,573.75","8,657.90","8,569.10","162.30M","-0.73%"
"12/18/2024","8,695.95","8,771.55","8,782.50","8,674.85","138.13M","-0.89%"
"12/17/2024","8,773.75","8,897.45","8,908.60","8,757.95","160.55M","-1.72%"
"12/16/2024","8,927.00","8,951.70","8,969.10","8,895.85","135.01M","-0.28%"
"12/13/2024","8,951.70","8,843.45","8,960.50","8,739.10","196.74M","1.19%"
"12/12/2024","8,846.65","8,892.85","8,920.55","8,835.60","163.06M","-0.65%"
"12/11/2024","8,904.55","8,910.45","8,939.30","8,899.65","119.28M","0.05%"
"12/10/2024","8,899.75","8,951.35","8,957.30","8,862.20","162.91M","-0.50%"
"12/09/2024","8,944.70","8,921.80","8,979.60","8,911.50","162.28M","0.13%"
"12/06/2024","8,933.20","8,951.50","8,980.55","8,924.05","200.07M","-0.04%"
"12/05/2024","8,936.80","8,910.70","8,979.40","8,821.25","229.15M","0.81%"
"12/04/2024","8,865.35","8,926.60","8,932.20","8,833.75","193.45M","-0.45%"
"12/03/2024","8,905.15","8,847.00","8,913.35","8,813.15","197.33M","1.15%"
"12/02/2024","8,803.80","8,723.65","8,812.05","8,683.00","151.19M","0.80%"
"11/29/2024","8,734.30","8,602.00","8,764.75","8,601.65","170.91M","1.53%"
"11/28/2024","8,602.50","8,698.60","8,732.40","8,584.90","206.48M","-1.13%"
"11/27/2024","8,700.80","8,663.35","8,733.20","8,624.85","170.31M","0.43%"
"11/26/2024","8,663.25","8,756.10","8,760.10","8,639.80","141.38M","-0.67%"
"11/25/2024","8,721.25","8,677.40","8,775.45","8,665.45","339.58M","2.15%"
"11/22/2024","8,537.95","8,332.30","8,554.25","8,303.65","202.97M","2.79%"
"11/21/2024","8,306.30","8,355.30","8,358.05","8,236.95","299.68M","-0.89%"
"11/19/2024","8,381.10","8,428.05","8,542.60","8,356.65","159.56M","-0.24%"
"11/18/2024","8,401.60","8,461.75","8,481.15","8,353.60","155.06M","-0.37%"
"11/14/2024","8,432.85","8,432.55","8,480.30","8,393.05","174.32M","0.02%"
"11/13/2024","8,430.85","8,542.45","8,575.55","8,414.20","201.76M","-1.45%"
"11/12/2024","8,554.60","8,683.70","8,719.00","8,530.20","169.38M","-1.19%"
"11/11/2024","8,657.75","8,676.70","8,742.75","8,625.35","159.15M","-0.59%"
"11/08/2024","8,709.40","8,758.65","8,777.90","8,682.50","188.39M","-0.66%"
"11/07/2024","8,767.70","8,873.25","8,873.50","8,760.70","149.30M","-1.01%"
"11/06/2024","8,857.15","8,742.30","8,876.35","8,701.30","202.36M","1.74%"
"11/05/2024","8,705.85","8,646.70","8,714.25","8,585.85","159.43M","0.28%"
"11/04/2024","8,681.70","8,884.45","8,887.40","8,606.95","218.64M","-2.11%"
"11/01/2024","8,869.15","8,858.30","8,888.55","8,854.35","26.36M","0.52%"
"10/31/2024","8,823.40","8,829.30","8,867.70","8,800.55","184.71M","0.40%"
"10/30/2024","8,788.55","8,767.05","8,852.30","8,720.95","146.35M","0.06%"
"10/29/2024","8,783.55","8,727.75","8,792.55","8,658.65","189.98M","0.43%"
"10/28/2024","8,746.35","8,709.50","8,803.15","8,618.40","182.91M","0.39%"
"10/25/2024","8,712.45","8,875.90","8,883.15","8,685.05","186.60M","-1.81%"
"10/24/2024","8,873.05","8,863.35","8,891.80","8,824.90","118.66M","0.12%"
"10/23/2024","8,862.00","8,913.00","8,944.35","8,833.50","169.14M","-0.81%"
"10/22/2024","8,934.10","9,101.60","9,143.60","8,920.20","151.10M","-1.87%"
"10/21/2024","9,104.80","9,198.25","9,209.30","9,088.00","145.63M","-0.84%"
"10/18/2024","9,182.00","9,128.80","9,203.75","9,049.25","129.25M","0.52%"
"10/17/2024","9,134.50","9,255.25","9,268.85","9,124.70","166.66M","-1.05%"
"10/16/2024","9,231.25","9,208.55","9,262.70","9,179.25","197.28M","0.15%"
"10/15/2024","9,217.05","9,234.30","9,249.60","9,183.65","185.66M","0.08%"
"10/14/2024","9,209.80","9,196.00","9,216.00","9,170.20","122.74M","0.48%"
"10/11/2024","9,165.65","9,159.30","9,177.45","9,115.65","105.99M","0.12%"
"10/10/2024","9,154.75","9,192.65","9,250.45","9,138.95","181.38M","0.09%"
"10/09/2024","9,146.60","9,193.50","9,262.05","9,134.60","177.67M","-0.13%"
"10/08/2024","9,158.25","9,012.60","9,175.45","8,991.25","181.18M","1.59%"
"10/07/2024","9,014.85","9,189.90","9,207.60","8,963.35","220.97M","-1.51%"
"10/04/2024","9,153.50","9,273.85","9,332.75","9,131.40","246.07M","-1.41%"
"10/03/2024","9,284.50","9,379.85","9,487.45","9,269.25","251.80M","-2.83%"
"10/01/2024","9,555.25","9,581.25","9,631.75","9,543.50","154.43M","-0.20%"
"09/30/2024","9,574.80","9,648.00","9,689.15","9,564.55","224.82M","-1.18%"
"09/27/2024","9,689.10","9,648.80","9,704.20","9,589.45","348.72M","0.27%"
"09/26/2024","9,663.30","9,637.40","9,670.05","9,586.40","198.12M","0.41%"
"09/25/2024","9,623.75","9,579.45","9,635.00","9,561.75","156.31M","0.44%"
"09/24/2024","9,581.55","9,569.90","9,615.60","9,559.30","184.00M","0.17%"
"09/23/2024","9,565.40","9,495.05","9,571.90","9,492.25","152.72M","1.16%"
"09/20/2024","9,455.40","9,356.75","9,472.15","9,318.70","257.46M","1.47%"
"09/19/2024","9,318.55","9,371.40","9,411.60","9,256.45","217.90M","-0.21%"
"09/18/2024","9,338.60","9,382.35","9,419.85","9,295.70","92.96M","-0.45%"
"09/17/2024","9,380.55","9,365.00","9,390.40","9,331.15","100.35M","0.34%"
"09/16/2024","9,348.55","9,359.45","9,391.95","9,338.05","93.73M","0.16%"
"09/13/2024","9,333.75","9,376.90","9,384.55","9,322.95","131.18M","-0.33%"
"09/12/2024","9,364.60","9,206.15","9,378.65","9,185.20","182.76M","2.38%"
"09/11/2024","9,147.10","9,251.85","9,258.80","9,125.95","190.73M","-0.96%"
"09/10/2024","9,235.80","9,172.40","9,274.45","9,171.45","166.99M","0.89%"
"09/09/2024","9,154.60","9,159.15","9,167.10","9,091.85","150.05M","-0.32%"
"09/06/2024","9,183.90","9,321.40","9,332.25","9,158.20","199.97M","-1.45%"
"09/05/2024","9,318.75","9,399.35","9,400.50","9,311.60","183.70M","-0.56%"
"09/04/2024","9,371.45","9,310.00","9,383.75","9,303.20","179.22M","-0.01%"
"09/03/2024","9,372.10","9,424.90","9,429.20","9,365.50","109.45M","-0.30%"
"09/02/2024","9,400.25","9,465.95","9,468.95","9,380.35","147.41M","-0.27%"
"08/30/2024","9,425.75","9,425.15","9,440.15","9,387.45","271.08M","0.59%"
"08/29/2024","9,370.05","9,348.25","9,383.05","9,290.50","191.94M","0.28%"
"08/28/2024","9,344.30","9,355.30","9,374.50","9,325.35","130.67M","0.06%"
"08/27/2024","9,339.05","9,352.70","9,374.20","9,332.20","129.14M","-0.08%"
"08/26/2024","9,346.80","9,306.05","9,353.70","9,269.45","125.29M","0.81%"
"08/23/2024","9,271.95","9,287.75","9,299.80","9,256.45","138.79M","0.06%"
"08/22/2024","9,266.45","9,271.05","9,286.45","9,240.20","132.87M","0.35%"
"08/21/2024","9,234.40","9,214.70","9,242.20","9,199.00","128.14M","0.35%"
"08/20/2024","9,202.60","9,229.35","9,237.70","9,187.05","148.86M","0.22%"
"08/19/2024","9,182.70","9,219.40","9,235.80","9,166.40","153.51M","0.27%"
"08/16/2024","9,157.90","9,081.70","9,167.25","9,031.65","136.19M","1.46%"
"08/14/2024","9,025.85","9,060.25","9,077.85","9,006.45","127.29M","-0.30%"
"08/13/2024","9,052.95","9,136.80","9,153.85","9,037.85","152.32M","-0.73%"
"08/12/2024","9,119.85","9,129.20","9,164.85","9,076.80","197.11M","-0.51%"
"08/09/2024","9,166.45","9,186.35","9,211.65","9,153.30","148.91M","0.98%"
"08/08/2024","9,077.50","9,184.35","9,193.50","9,062.00","187.03M","-1.41%"
"08/07/2024","9,207.70","9,183.35","9,219.60","9,139.70","230.52M","1.64%"
"08/06/2024","9,059.50","9,133.80","9,250.50","9,040.65","191.58M","-0.13%"
"08/05/2024","9,071.55","9,212.20","9,229.20","9,002.95","290.88M","-3.28%"
"08/02/2024","9,379.05","9,439.50","9,450.00","9,358.60","206.30M","-1.60%"
"08/01/2024","9,531.55","9,521.95","9,547.60","9,491.20","265.18M","0.34%"
"07/31/2024","9,499.45","9,455.55","9,505.60","9,441.90","296.54M","0.59%"
"07/30/2024","9,443.40","9,433.50","9,492.25","9,406.25","314.38M","0.21%"
"07/29/2024","9,423.55","9,420.95","9,456.35","9,396.50","264.52M","0.55%"
"07/26/2024","9,372.25","9,223.60","9,378.80","9,208.05","264.83M","2.00%"
"07/25/2024","9,188.05","9,059.10","9,202.25","9,046.15","317.66M","0.78%"
"07/24/2024","9,116.50","9,079.35","9,144.90","9,047.20","198.82M","0.34%"
"07/23/2024","9,085.20","9,190.20","9,195.75","8,832.45","284.87M","-0.79%"
"07/22/2024","9,157.80","9,077.65","9,178.75","9,027.85","221.04M","0.39%"
"07/19/2024","9,122.35","9,334.90","9,336.90","9,109.80","191.36M","-2.34%"
"07/18/2024","9,340.60","9,334.40","9,354.00","9,234.95","213.63M","0.11%"
"07/16/2024","9,330.80","9,365.55","9,386.65","9,314.65","218.13M","-0.14%"
"07/15/2024","9,343.70","9,318.95","9,351.15","9,266.40","216.24M","0.73%"
"07/12/2024","9,276.30","9,290.05","9,326.60","9,227.40","199.65M","0.13%"
"07/11/2024","9,263.85","9,311.90","9,312.45","9,243.90","231.04M","-0.15%"
"07/10/2024","9,278.05","9,301.15","9,306.70","9,100.60","176.63M","0.15%"
"07/09/2024","9,263.80","9,267.45","9,285.30","9,223.35","160.82M","0.14%"
"07/08/2024","9,251.25","9,267.75","9,272.20","9,205.75","206.56M","0.01%"
"07/05/2024","9,250.60","9,143.20","9,267.40","9,122.45","191.94M","1.24%"
"07/04/2024","9,137.25","9,157.75","9,194.65","9,122.70","155.26M","-0.05%"
"07/03/2024","9,141.65","9,169.35","9,174.40","9,106.30","131.35M","0.04%"
"07/02/2024","9,138.10","9,162.55","9,188.85","9,091.85","184.27M","0.07%"
"07/01/2024","9,131.70","9,144.80","9,163.30","9,107.00","156.96M","-0.02%"
"06/28/2024","9,133.95","9,155.05","9,184.65","9,102.30","226.33M","0.30%"
"06/27/2024","9,106.90","9,024.80","9,130.20","9,005.70","289.52M","1.02%"
