"Date","Price","Open","High","Low","Vol.","Change %"
"15-03-2012","4,249.70","4,367.90","4,367.90","4,238.70","","-2.73%"
"14-03-2012","4,368.85","4,372.20","4,376.95","4,330.30","","1.20%"
"13-03-2012","4,317.15","4,311.80","4,342.95","4,311.50","","0.87%"
"12-03-2012","4,279.90","4,346.35","4,346.95","4,260.75","","0.75%"
"09-03-2012","4,248.10","4,151.80","4,258.35","4,151.80","","3.89%"
"07-03-2012","4,089.20","4,052.55","4,102.15","4,026.05","","0.62%"
"06-03-2012","4,064.10","4,097.65","4,204.80","4,052.60","","-1.11%"
"05-03-2012","4,109.90","4,191.55","4,191.55","4,103.65","","-2.36%"
"03-03-2012","4,209.45","4,208.20","4,223.45","4,204.40","","0.05%"
"02-03-2012","4,207.40","4,184.95","4,254.45","4,127.05","","1.08%"
"01-03-2012","4,162.60","4,192.70","4,194.40","4,113.30","","-0.97%"
"29-02-2012","4,203.45","4,263.10","4,299.35","4,181.45","","-0.56%"
"28-02-2012","4,227.30","4,131.05","4,258.40","4,126.70","","3.09%"
"27-02-2012","4,100.60","4,254.05","4,254.05","4,087.85","","-3.32%"
"24-02-2012","4,241.49","4,241.49","4,241.49","4,241.49","","-2.33%"
"23-02-2012","4,342.85","4,342.85","4,342.85","4,342.85","","-0.43%"
"22-02-2012","4,361.41","4,361.41","4,361.41","4,361.41","","-3.27%"
"21-02-2012","4,509.05","4,509.05","4,509.05","4,509.05","","0.66%"
"17-02-2012","4,479.48","4,479.48","4,479.48","4,479.48","","1.21%"
"16-02-2012","4,426.06","4,426.06","4,426.06","4,426.06","","0.43%"
"15-02-2012","4,407.19","4,407.19","4,407.19","4,407.19","","3.14%"
"14-02-2012","4,273.00","4,273.00","4,273.00","4,273.00","","0.75%"
"13-02-2012","4,241.12","4,241.12","4,241.12","4,241.12","","0.22%"
"10-02-2012","4,231.86","4,231.86","4,231.86","4,231.86","","-0.88%"
"09-02-2012","4,269.63","4,269.63","4,269.63","4,269.63","","1.52%"
"08-02-2012","4,205.72","4,205.72","4,205.72","4,205.72","","0.24%"
"07-02-2012","4,195.53","4,195.53","4,195.53","4,195.53","","-0.26%"
"06-02-2012","4,206.59","4,206.59","4,206.59","4,206.59","","1.14%"
"03-02-2012","4,159.28","4,159.28","4,159.28","4,159.28","","1.70%"
"02-02-2012","4,089.59","4,089.59","4,089.59","4,089.59","","0.05%"
"01-02-2012","4,087.63","4,087.63","4,087.63","4,087.63","","0.33%"
"31-01-2012","4,074.25","4,074.25","4,074.25","4,074.25","","3.46%"
"30-01-2012","3,938.00","3,938.00","3,938.00","3,938.00","","-2.67%"
"27-01-2012","4,046.21","4,046.21","4,046.21","4,046.21","","-0.44%"
"25-01-2012","4,064.05","4,064.05","4,064.05","4,064.05","","3.50%"
"24-01-2012","3,926.79","3,926.79","3,926.79","3,926.79","","0.00%"
